ablation_run_id,reference_run_id,outer_fold,alpha,scenario,method_family,variant,fl_seed,scientific_optimizer_steps_accounted,run_result_binding_sha256,run_manifest_binding_sha256
89,197,2,0.1,signflip_mu0p2,tea_fl,tea_trust_only,123,5143,E0042E5A46DAC1BCD4E7260F31E338BE12FBA42BE3078248F611A26F357F01FC,B639EF2DC04AA8A3D089557A735058B600482EE58B9C590E93A90344EAC8E845
90,197,2,0.1,signflip_mu0p2,tea_fl,tea_energy_only,123,5365,2C58B183387732A78F0BF4B68C31CCB1379BE0D74AD460DDA721250DF93DB21C,1A400F836057BF33E1D10771FA05D3FAC802A51EF896FCF9B40C94B286EA6588
91,198,2,0.1,signflip_mu0p2,arl_fl,arl_no_energy,123,5722,DA20AF3ACFF4E300165E439C59B0FEC915F102BBF17806A822E3B3DCA64EC7F4,5A5983BC1EDD24BA9D7090621C889EBBFD6C00E3EBBF7E7F4057A2B71321F145
92,198,2,0.1,signflip_mu0p2,arl_fl,arl_no_pressure,123,5512,9C8B3E431EB41A698EE9D0AB47134BD16B2F8E8DDF4DD50A462EDA47F838249D,4E4919742763DF8D93F71667BE1BD03A818FEBD2B3127D9F2A9BB123997E6CD0
93,203,2,0.1,signflip_mu0p2,tea_fl,tea_trust_only,456,4882,7AC1A28E2FCA2EF452DB437612512873FBA13D0245AD86D8ADBE2EC052FC9C9F,9D330FD602A26441C62CD40AAC5110D26CDD6BE800BCEA589D313638859A70AA
94,203,2,0.1,signflip_mu0p2,tea_fl,tea_energy_only,456,5292,9D3AD796197D39A2EAAFE7F8E8B95A9575823880A777309C2CC3FF01D79AAF3B,8EAAA2E5AC1FDE3946A441620179D3A85702ADA73E9959D644E95A5EFED35C22
95,204,2,0.1,signflip_mu0p2,arl_fl,arl_no_energy,456,5643,A2CF7608398ADFCEC37264E0CD75B905102522A740DEFCC060CA15B6474A13BF,439350E778B7382A684CF8F6172804592EF646DB6142FDCD4E96DA79B8845509
96,204,2,0.1,signflip_mu0p2,arl_fl,arl_no_pressure,456,5394,95474B5ED87E36CFDB4B75DF8A52B2C1A6D5EEE7230D30C6D9D16B84212EEC7B,02299F672B3FA94276733A59F5D1437933EC598CCC490D32D9E47934433F57A5
97,317,3,0.1,signflip_mu0p2,tea_fl,tea_trust_only,123,4772,C40C55EB90774D045DA4054B43A8A8B3E00FEEA7B75174F3DC9CD1969C7F5F23,42A3398FFEED6513F144DB38F28DF89ADA044FB2CC645EA36C2825235516717B
98,317,3,0.1,signflip_mu0p2,tea_fl,tea_energy_only,123,5190,6E14F09E857468810C659127140A1569CE2BCF12BE586B43CF84B8C84B70155A,017153696B99B9924AB9E6D552B4A1CE748B14FFE505F3FE80F73F6FFF93E28F
99,318,3,0.1,signflip_mu0p2,arl_fl,arl_no_energy,123,5493,A1A45FD9C668F4871AE15C3BBF1840D1259F27C2992786FC4CA52316C7C4B3B1,D6A9EDB4536A4C7B85320A2F68E56EED3B293B7C5D3757A5B61CE69DC034A526
100,318,3,0.1,signflip_mu0p2,arl_fl,arl_no_pressure,123,5364,AAEEC332EF0FCA5AD760D0ABEB0D1909974B451DA416A908E78A8511B8DC48BC,5A8099897389B026B370512E9F1F70C26D45A1B07752FCC96723B245A50C21FB
101,323,3,0.1,signflip_mu0p2,tea_fl,tea_trust_only,456,4567,D35FCB88A7C9B1D810A73D9471C25844140967EF686122663CF8474D7450C556,D03341C88BF907E00EB064E8350B10A67EF92EC7E00C24004C79BC64F0AC70D2
102,323,3,0.1,signflip_mu0p2,tea_fl,tea_energy_only,456,5187,81CADAC698B5E9D23860AE082B7BC21E7031A0062EC40082E3CFF249C33CABB5,76E546248B3CD140ACD76E60B9682FAC224D24F592C8846C2515D154637AE8C3
103,324,3,0.1,signflip_mu0p2,arl_fl,arl_no_energy,456,5616,BFCCA204B28D0A193FBAF62D4D3798EB89B3A3FC7575F2C8D18478FA08863612,67D4574E0D52454E50DC0F2FDB32A6BE133A39AC83F7A6EACC8075089135BDE2
104,324,3,0.1,signflip_mu0p2,arl_fl,arl_no_pressure,456,5397,5543B7835B50F89C885BDEE04A10AA25CCF3497319F0631890E3B273062C2A9F,62707928B2DE663AF08D95281960C0F6526A3EC62670422F9D15C5DD92265662
105,437,4,0.1,signflip_mu0p2,tea_fl,tea_trust_only,123,5390,7068142E30C7C521A62F6E89458A1B8352FB4669F4CAF408F1DF09DEEBF51541,B7F9E6121D6364CBAED0214D4EF71AE49EADB28DC47ADBE492279ED737532CF8
106,437,4,0.1,signflip_mu0p2,tea_fl,tea_energy_only,123,5462,631CFB99AC0A9C2779A3EB8B295A48D0770D629FF5F863B4B1A9A2CEECE9EBBB,C0B1CFEFD8953023C997BC529055B29CCF8D68182210067279E41C8271F5AE87
107,438,4,0.1,signflip_mu0p2,arl_fl,arl_no_energy,123,5903,4BDAA0BA210DE28EA6B311471AD31687D98916B6387F71A76A64B37B6048D934,30343BAE50D95FADE009F6B6AD3C22FF37A5674674ABAB6491D93A114DA5FF05
