method,macro_f1,balanced_accuracy,total_normalized_energy_consumed,final_mean_residual_energy,final_active_clients,jain_participation_fairness,macro_f1_benefit_norm,balanced_accuracy_benefit_norm,total_normalized_energy_consumed_benefit_norm,final_mean_residual_energy_benefit_norm,final_active_clients_benefit_norm,jain_participation_fairness_benefit_norm,pareto_macro_f1_energy,pareto_four_objective,score_effectiveness_energy,score_balanced_four_objective,alpha,scenario,method_label
fedle_adapted,0.572878223548105,0.614035803672716,17.678964681695224,0.21475067947135545,19.6,0.9271706222170899,0.7616675254035671,0.7748144902668519,0.0,0.0,0.4561403508771933,0.8993370748706152,False,True,0.38083376270178354,0.5292862377878439,0.1,clean,FedLE-adapted
fedprox,0.6256097133335425,0.6557705268331521,17.46344112294742,0.22244794942663418,17.0,0.959574286631274,1.0,1.0,0.06565883587538324,0.06565883587538314,0.0,1.0,True,True,0.5328294179376916,0.5164147089688458,0.1,clean,FedProx
random_trimmed_mean,0.47941255057028426,0.5281260493679015,17.46344112294742,0.22244794942663418,17.0,0.959574286631274,0.33922724880101307,0.3112764492976818,0.06565883587538324,0.06565883587538314,0.0,1.0,False,False,0.20244304233819815,0.3512215211690991,0.1,clean,Random Trimmed Mean
tea_fl,0.4043579100502197,0.4704356746488664,14.396488593376265,0.33198196833988974,18.7,0.6376716161839892,0.0,0.0,1.0,1.0,0.29824561403508765,0.0,True,True,0.5,0.32456140350877194,0.1,clean,TEA-FL
arl_fl,0.3431286618360251,0.4134998535139025,16.650590914230982,0.2514783140236499,22.3,0.8639456857911704,0.7799272075204798,0.7728850193045912,0.39392772995645164,0.3939277299564532,1.0,0.6785283940780252,False,True,0.5869274687384658,0.7130958328887392,0.1,signflip_mu0p2,ARL-FL
fedavg,0.026010148984365572,0.10121283900039739,17.46344112294742,0.22244794942663418,17.0,0.959574286631274,0.0,0.0,0.08213910701261673,0.08213910701261726,0.0,1.0,False,False,0.041069553506308365,0.2705347767531542,0.1,signflip_mu0p2,FedAvg
fedle_adapted,0.03374887947601842,0.11124319312979383,17.677582324279882,0.21480004937904615,19.8,0.9282423273953293,0.01903277865373861,0.024824312522271724,0.0,0.0,0.5283018867924529,0.8946723557202045,False,True,0.009516389326869304,0.360501755291599,0.1,signflip_mu0p2,FedLE-adapted
fedprox,0.031111229232488817,0.10955080193157254,17.46344112294742,0.22244794942663418,17.0,0.959574286631274,0.012545692263376857,0.020635781641646155,0.08213910701261673,0.08213910701261726,0.0,1.0,False,False,0.047342399637996795,0.2736711998189984,0.1,signflip_mu0p2,FedProx
random_trimmed_mean,0.2873511584374024,0.3673985841607485,17.46344112294742,0.22244794942663418,17.0,0.959574286631274,0.6427469714095051,0.658788118703437,0.08213910701261673,0.08213910701261726,0.0,1.0,False,True,0.3624430392110609,0.43122151960553046,0.1,signflip_mu0p2,Random Trimmed Mean
tea_fl,0.43261029037426874,0.5052664908547024,15.070526938353044,0.3079091703050047,17.1,0.6621029109996921,1.0,1.0,1.0,1.0,0.018867924528302153,0.0,True,True,1.0,0.5047169811320755,0.1,signflip_mu0p2,TEA-FL
