alpha,scenario,method,macro_f1_mean,macro_f1_std,balanced_accuracy_mean,energy_consumed_mean,final_active_clients_mean,jain_fairness_mean,method_label,macro_f1_rank
1.0,labelflip_mu0p2,tea_fl,0.7124245944197403,0.04381047897847891,0.7336363817243496,15.750529771838519,15.3,0.7386214287419707,TEA-FL,6.0
1.0,labelflip_mu0p4,arl_fl,0.6033272672146193,0.14957274035934617,0.6261056038786018,16.387345708906004,25.4,0.8676078668160976,ARL-FL,2.0
1.0,labelflip_mu0p4,fedavg,0.6010984934438166,0.2048550590486553,0.6159416486911736,17.359177477174327,19.1,0.9795144310449322,FedAvg,3.0
1.0,labelflip_mu0p4,fedle_adapted,0.5329321583621367,0.17718786419841953,0.5606098935647962,17.33654838719105,21.4,0.9193718020884262,FedLE-adapted,6.0
1.0,labelflip_mu0p4,fedprox,0.6010581261962828,0.20970533865627008,0.6153842688036064,17.359177477174327,19.1,0.9795144310449322,FedProx,4.0
1.0,labelflip_mu0p4,random_trimmed_mean,0.5869662425605986,0.17044270175082132,0.6088629167884411,17.359177477174327,19.1,0.9795144310449322,Random Trimmed Mean,5.0
1.0,labelflip_mu0p4,tea_fl,0.6149120333835173,0.1878498402640542,0.6335644329957286,15.755698381636307,14.6,0.7479125234087068,TEA-FL,1.0
1.0,signflip_mu0p2,arl_fl,0.6679049029240931,0.06939531520051731,0.690501915578867,16.40878024192499,24.7,0.8594762160412056,ARL-FL,2.0
1.0,signflip_mu0p2,fedavg,0.03924750143735622,0.06158544220493885,0.11406034377623768,17.359177477174327,19.1,0.9795144310449322,FedAvg,4.0
1.0,signflip_mu0p2,fedle_adapted,0.01981755201826874,0.014194269718053085,0.09107896128492715,17.33654838719105,21.4,0.9193718020884262,FedLE-adapted,6.0
1.0,signflip_mu0p2,fedprox,0.03726325597611104,0.06621044403121575,0.10156625752309864,17.359177477174327,19.1,0.9795144310449322,FedProx,5.0
1.0,signflip_mu0p2,random_trimmed_mean,0.5972474744613734,0.1022993275627089,0.634738502805906,17.359177477174327,19.1,0.9795144310449322,Random Trimmed Mean,3.0
1.0,signflip_mu0p2,tea_fl,0.7103086502344619,0.04754922684013069,0.7265031438427518,15.924063361089143,14.5,0.7462837520006861,TEA-FL,1.0
1.0,signflip_mu0p4,arl_fl,0.02528185476437181,0.02774598978884048,0.09850259338202867,16.55323921541965,23.6,0.8859541983760675,ARL-FL,2.0
1.0,signflip_mu0p4,fedavg,0.01409512282090567,0.0035884697938834173,0.0833333333333333,17.359177477174327,19.1,0.9795144310449322,FedAvg,3.0
1.0,signflip_mu0p4,fedle_adapted,0.013971514832633768,0.003249538997424153,0.0833333333333333,17.33654838719105,21.4,0.9193718020884262,FedLE-adapted,4.0
1.0,signflip_mu0p4,fedprox,0.013275289041500122,0.003425075115238913,0.0833333333333333,17.359177477174327,19.1,0.9795144310449322,FedProx,6.0
1.0,signflip_mu0p4,random_trimmed_mean,0.01395943045073646,0.004799380700877405,0.0833333333333333,17.359177477174327,19.1,0.9795144310449322,Random Trimmed Mean,5.0
1.0,signflip_mu0p4,tea_fl,0.5042871888298414,0.25122491326977686,0.5461892819726262,15.945132442205255,14.5,0.763860690251766,TEA-FL,1.0
