index,alpha,scenario,class_index,activity_id,activity_name,method,class_f1_mean,class_f1_std,class_f1_median,method_label,rank_within_condition_activity
328,0.1,signflip_mu0p4,6,7,Nordic walking,random_trimmed_mean,0.07770917192164473,0.1373396851294714,0.0,Random Trimmed Mean,2.0
329,0.1,signflip_mu0p4,6,7,Nordic walking,tea_fl,0.4498018241246614,0.2844105345909371,0.4828228744752076,TEA-FL,1.0
330,0.1,signflip_mu0p4,7,12,Ascending stairs,arl_fl,0.0,0.0,0.0,ARL-FL,4.5
331,0.1,signflip_mu0p4,7,12,Ascending stairs,fedavg,0.0,0.0,0.0,FedAvg,4.5
332,0.1,signflip_mu0p4,7,12,Ascending stairs,fedle_adapted,0.018167768652375533,0.038430176796968515,0.0,FedLE-adapted,2.0
333,0.1,signflip_mu0p4,7,12,Ascending stairs,fedprox,0.0,0.0,0.0,FedProx,4.5
334,0.1,signflip_mu0p4,7,12,Ascending stairs,random_trimmed_mean,0.0,0.0,0.0,Random Trimmed Mean,4.5
335,0.1,signflip_mu0p4,7,12,Ascending stairs,tea_fl,0.2454855419530265,0.3230863540423822,0.12096774193548385,TEA-FL,1.0
336,0.1,signflip_mu0p4,8,13,Descending stairs,arl_fl,0.0,0.0,0.0,ARL-FL,5.0
337,0.1,signflip_mu0p4,8,13,Descending stairs,fedavg,0.0,0.0,0.0,FedAvg,5.0
338,0.1,signflip_mu0p4,8,13,Descending stairs,fedle_adapted,0.0,0.0,0.0,FedLE-adapted,5.0
339,0.1,signflip_mu0p4,8,13,Descending stairs,fedprox,0.010687732342007431,0.03379757722298917,0.0,FedProx,3.0
340,0.1,signflip_mu0p4,8,13,Descending stairs,random_trimmed_mean,0.022192151556156968,0.07017774509710613,0.0,Random Trimmed Mean,2.0
341,0.1,signflip_mu0p4,8,13,Descending stairs,tea_fl,0.18670242461060418,0.17753819848918653,0.17505913440023865,TEA-FL,1.0
342,0.1,signflip_mu0p4,9,16,Vacuum cleaning,arl_fl,0.0,0.0,0.0,ARL-FL,5.0
343,0.1,signflip_mu0p4,9,16,Vacuum cleaning,fedavg,0.0,0.0,0.0,FedAvg,5.0
344,0.1,signflip_mu0p4,9,16,Vacuum cleaning,fedle_adapted,0.06386282728435196,0.0827004662000418,0.0,FedLE-adapted,2.0
345,0.1,signflip_mu0p4,9,16,Vacuum cleaning,fedprox,0.0,0.0,0.0,FedProx,5.0
346,0.1,signflip_mu0p4,9,16,Vacuum cleaning,random_trimmed_mean,0.023989218328840968,0.07586056920619562,0.0,Random Trimmed Mean,3.0
